"Company","Ticker","Sector","E","S","G","ESG","Status"
"Elevance Health","ELV","Health Care","49.44","51.49","48.7","49.33","Divest"
"Eli Lilly and Company","LLY","Health Care","3.43","17.4","11.56","32.4","Invest"
"Emerson Electric","EMR","Industrials","10.13","12.34","7","29.47","Divest"
"Entergy","ETR","Utilities","16.31","6.85","6.41","29.57","Divest"
"EOG Resources","EOG","Energy","20.39","8.13","7.73","36.25","Divest"
"EQT","EQT","Energy","19.03","10.08","7.54","36.64","Divest"
"Equifax","EFX","Industrials","0.16","18.63","6.98","25.76","Invest"
"Equinix","EQIX","Real Estate","2.63","3.51","5.65","11.79","Invest"
"Equity Residential","EQR","Real Estate","2.89","3.06","5.21","11.16","Invest"
"Essex Property Trust","ESS","Real Estate","3.5","2.69","6.13","12.33","Invest"
"Est<U+00E9>e Lauder Companies (The)","EL","Consumer Staples","6.88","11.34","7.68","25.91","Divest"
"Eversource","ES","Utilities","4.8","8.16","5.77","18.73","Divest"
"Exelon","EXC","Utilities","8.83","8.97","6.59","24.39","Divest"
"Expedia Group","EXPE","Consumer Discretionary","2.11","13.79","9.81","25.7","Invest"
"Expeditors International","EXPD","Industrials","3.83","7.35","4.64","15.82","Divest"
"Extra Space Storage","EXR","Real Estate","3.81","4.28","5.99","14.08","Invest"
"ExxonMobil","XOM","Energy","18.55","9.82","8.1","36.47","Divest"
"F5, Inc.","FFIV","Information Technology","1.26","12.49","5.42","19.18","Invest"
"FactSet","FDS","Financials","2.94","10.88","6.61","20.44","Invest"
"Fastenal","FAST","Industrials","10.69","8.66","7.05","26.4","Divest"
"Federal Realty","FRT","Real Estate","2.27","4.34","5.82","12.42","Invest"
"FedEx","FDX","Industrials","5.29","9.32","5.84","20.45","Divest"
"Fifth Third Bank","FITB","Financials","1.41","8.68","7.36","17.44","Invest"
"FirstEnergy","FE","Utilities","12.96","9.72","6.84","29.51","Divest"
"FIS","FIS","Financials","1.27","11.14","5.68","18.08","Invest"
"Fleetcor","FLT","Financials","2.88","9.08","6.16","18.11","Invest"
"FMC Corporation","FMC","Materials","16.18","9.09","7.47","32.74","Divest"
"Ford Motor Company","F","Consumer Discretionary","9.27","11.34","9.35","29.95","Divest"
"Fortinet","FTNT","Information Technology","1.23","12.19","5.71","19.13","Invest"
"Franklin Templeton","BEN","Financials","1.12","9.88","7.18","18.18","Invest"
"Freeport-McMoRan","FCX","Materials","16.56","10.15","5.22","31.94","Divest"
"Garmin","GRMN","Consumer Discretionary","5.4","7.86","5.28","18.54","Divest"
"Gartner","IT","Information Technology","0.13","15.44","6.2","21.78","Invest"
"Gen Digital","GEN","Information Technology","0.7","9.47","4.81","14.98","Invest"
"General Dynamics","GD","Industrials","8.48","19.52","6.87","34.88","Divest"
"General Electric","GE","Industrials","14.09","15.04","11.58","40.71","Divest"
"General Mills","GIS","Consumer Staples","8.45","8.94","4.13","21.51","Divest"
"General Motors","GM","Consumer Discretionary","10.28","12.92","7.69","30.89","Divest"
"Genuine Parts Company","GPC","Consumer Discretionary","3.62","5.23","3.78","12.62","Invest"
"Gilead Sciences","GILD","Health Care","0.03","14.04","8.01","22.08","Invest"
"Globe Life","GL","Financials","1.58","8.16","10.51","20.25","Invest"
"Global Payments","GPN","Financials","1.25","10.98","6.8","19.03","Invest"
"Goldman Sachs","GS","Financials","1.25","12.67","12.24","26.16","Invest"
"Halliburton","HAL","Energy","8.89","8.59","6.32","23.8","Divest"
"Hartford (The)","HIG","Financials","1.5","5.99","8.67","16.17","Invest"
"Hasbro","HAS","Consumer Discretionary","0.04","2.88","4.2","7.11","Invest"
"HCA Healthcare","HCA","Health Care","3.5","17.34","7.4","28.24","Invest"
"Healthpeak","PEAK","Real Estate","3.01","2.22","4.49","9.73","Invest"
"Henry Schein","HSIC","Health Care","2.14","5.59","5.64","13.37","Invest"
"Hershey's","HSY","Consumer Staples","11.3","10.89","5.24","27.43","Divest"
"Hess Corporation","HES","Energy","22.11","7.2","6.75","36.05","Divest"
"Hologic","HOLX","Health Care","4.79","13.27","10.18","28.24","Divest"
"Home Depot (The)","HD","Consumer Discretionary","3.4","5.51","3.63","12.54","Invest"
"Honeywell","HON","Industrials","10.58","10.19","8.54","29.31","Divest"
"Hormel Foods","HRL","Consumer Staples","13.23","10.68","6","29.91","Divest"
"Host Hotels & Resorts","HST","Real Estate","3.25","5.64","5.05","13.94","Invest"
"HP Inc.","HPQ","Information Technology","0.11","5","5.82","10.93","Invest"
"Humana","HUM","Health Care","0.01","16.43","5.94","22.37","Invest"
"Huntington Bancshares","HBAN","Financials","1.96","10.79","7.63","20.38","Invest"
"Huntington Ingalls Industries","HII","Industrials","47.02","46.57","51.34","45.74","Divest"
"IBM","IBM","Information Technology","0.47","6.67","7.64","14.77","Invest"
"IDEX Corporation","IEX","Industrials","8.1","13","5.72","26.82","Divest"
"Idexx Laboratories","IDXX","Health Care","3.3","7.1","9.05","19.45","Invest"
"Illinois Tool Works","ITW","Industrials","4.31","9.07","6.22","19.6","Divest"
"Illumina","ILMN","Health Care","0.98","3.72","6.21","10.9","Invest"
"Incyte","INCY","Health Care","1.45","15.55","7.11","24.12","Invest"
"Intel","INTC","Information Technology","4.36","5.94","6.96","17.26","Divest"
"Intercontinental Exchange","ICE","Financials","1.68","7.98","6.68","16.34","Invest"
"International Flavors & Fragrances","IFF","Materials","10.39","5.42","6.5","22.31","Divest"
"International Paper","IP","Materials","14.26","4.5","4.95","23.71","Divest"
"Interpublic Group of Companies (The)","IPG","Communication Services","0.04","5.11","5.28","10.43","Invest"
"Intuit","INTU","Information Technology","0.97","10.52","4.7","16.2","Invest"
"Intuitive Surgical","ISRG","Health Care","4.37","9.78","9.6","23.74","Divest"
"Invesco","IVZ","Financials","0.7","9.87","9.76","20.33","Invest"
"Iron Mountain","IRM","Real Estate","5","3.74","6","14.74","Divest"
"J.B. Hunt","JBHT","Industrials","3","6.01","4.86","13.86","Invest"
